,Nbrpieces,Nbr_salle_deB,superficie,addresse
767,5,4,225,"Ngor, Dakar, Sénégal"
768,4,3,130,"Mermoz-Sacré Coeur, Dakar, Sénégal"
770,3,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
773,5,5,212,"Point E, Dakar, Sénégal"
774,5,5,21,"Dakar Plateau, Dakar, Sénégal"
776,3,4,190,"Point E, Dakar, Sénégal"
778,5,5,250,"Almadies, Dakar, Sénégal"
779,5,3,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
780,5,4,280,"Fann, Dakar, Sénégal"
781,3,3,160,"Mamelles, Dakar, Sénégal"
783,9,4,188,"Yoff, Dakar, Sénégal"
784,2,2,55,"Almadies, Dakar, Sénégal"
785,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
787,4,3,130,"Ngor, Dakar, Sénégal"
789,3,1,150,"Mariste, Dakar, Sénégal"
791,2,2,150,"Ouest Foire, Dakar, Sénégal"
792,3,4,1,"Dakar, Sénégal"
793,5,5,310,"Dakar Plateau, Dakar, Sénégal"
794,4,4,12,"Fann, Dakar, Sénégal"
795,5,4,280,"Sacré-Coeur, Dakar, Sénégal"
796,4,3,1,"Dakar, Sénégal"
797,3,2,120,"Point E, Dakar, Sénégal"
799,4,5,150,"Point E, Dakar, Sénégal"
800,5,4,12,"Dakar Plateau, Dakar, Sénégal"
801,5,3,160,"Yoff, Dakar, Sénégal"
802,4,5,160,"Dakar, Sénégal"
808,4,4,100,"Point E, Dakar, Sénégal"
809,3,2,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
810,3,3,130,"Fann, Dakar, Sénégal"
811,3,2,128,"Ouest Foire, Dakar, Sénégal"
813,2,2,12,"Dakar Plateau, Dakar, Sénégal"
815,4,4,175,"Dakar, Sénégal"
816,3,2,100,"Almadies, Dakar, Sénégal"
817,3,3,100,"Almadies, Dakar, Sénégal"
818,4,4,150,"Almadies, Dakar, Sénégal"
819,3,3,210,"Point E, Dakar, Sénégal"
821,4,4,200,"Point E, Dakar, Sénégal"
822,5,4,175,"Yoff, Dakar, Sénégal"
823,4,3,200,"Yoff, Dakar, Sénégal"
828,4,3,210,"Point E, Dakar, Sénégal"
829,4,4,210,"Point E, Dakar, Sénégal"
832,4,3,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
837,3,3,130,"Sicap Liberté, Dakar, Sénégal"
