,supercie,prix,Addresse,image_lien
185,150 m2,1000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
186,8300 ,129000000,Mbao Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
187,230 m2,80000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
188,150 m2,45000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
189,300 m2,8000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
190,7000000 ,Prixsurdemande,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
191,7000000 ,Prixsurdemande,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
192,150 m2,1000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
193,150 m2,8500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
194,150 m2,15000000,Jaxaay-Parcelle-Niakoul Rap Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
195,150 ,3000000,Lac rose Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
196,300 ,7000000,Thies Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
197,150 m2,13000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
198,456 m2,420000000,Medina Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
199,157 ,22000000,Biscuiterie Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
200,150 ,15000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
201,400 m2,2500000,Mbour Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
202,1000 m2,1200000,Mariste Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
203,225 m2,3500000,Niaga Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
204,150 m2,18500000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
205,165 m2,75000000,Almadies Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
206,610 ,550000000,Yoff Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
207,205 ,10000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
208,150 m2,7000000,Mbao Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
209,150 ,Prixsurdemande,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
210,150 ,9500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
211,150 m2,15000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
212,150 m2,12500000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
213,150 ,15000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
214,225 m2,500000,Thies Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
215,150 m2,3000000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
216,150 m2,4500000,Diamniadio Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
217,5000 m2,350000000,Mbour Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
218,150 ,19000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
219,300 m2,Prixsurdemande,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
220,600 ,12000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
221,170 ,11000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
222,150 m2,12500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
223,630 m2,3500000,Thies Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
224,225 ,800000,Thies Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
225,150 ,1500000,Thies Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
226,150 m2,3000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
227,150 m2,12500000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
228,150 ,3700000,Niaga Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
229,201 ,91000000,Mamelles Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
230,150 m2,15000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
231,150 m2,2500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
232,1400 ,1200000,Almadies Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
233,22500 m2,6500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
234,151 ,20000000,Mbao Dakar,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
235,225 ,1000000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3762580_uploaded_image1_1656451293.jpg
236,150 m2,4500000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3783006_uploaded_image1_1657715617.jpg
237,150 m2,14500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3783006_uploaded_image1_1657715617.jpg
