,Nombres_de_pieces,nbrdeb,superficie,addresse
323,4,4,175,"Almadies 2, Dakar, Sénégal"
324,2,1,150,"HLM, Dakar, Sénégal"
326,12,7,300,"Dakar, Sénégal"
327,12,9,300,"Dakar, Sénégal"
328,1,2,150,"Dakar, Sénégal"
329,8,7,459,"Point E, Dakar, Sénégal"
330,4,3,900,"Ngaparou, Sénégal"
331,3,3,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
334,6,3,160,"Guediawaye, Dakar, Sénégal"
336,6,6,1100,"Thies, Sénégal"
337,7,1,180,"Mbao, Dakar, Sénégal"
338,8,6,700,"Mermoz-Sacré Coeur, Dakar, Sénégal"
339,4,3,213,"Almadies, Dakar, Sénégal"
340,4,2,150,"Mbour, Sénégal"
341,4,3,253,"Diamniadio, Sénégal"
347,2,2,150,"Colobane, Dakar, Sénégal"
349,7,4,300,"Sacré-Coeur, Dakar, Sénégal"
350,7,6,250,"Ngor, Dakar, Sénégal"
351,8,3,345,"Mbour, Sénégal"
352,6,3,150,"Dakar, Sénégal"
353,8,4,150,"Rufisque, Sénégal"
354,6,4,1500,"Thies, Sénégal"
355,8,6,300,"Almadies, Dakar, Sénégal"
357,22,9,1020,"Ziguinchor, Sénégal"
358,3,1,150,"Dieuppeul-Derklé, Dakar, Sénégal"
360,4,4,600,"Saly, Sénégal"
365,3,1,514,"Ngaparou, Sénégal"
368,5,5,1200,"Diamalaye 1, Dakar, Sénégal"
376,9,7,2069,"Yoff, Dakar, Sénégal"
378,4,1,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
379,6,5,250,"Mamelles, Dakar, Sénégal"
380,7,5,1,"Almadies, Dakar, Sénégal"
383,300,3,3000,"Ngaparou, Sénégal"
384,3,3,253,"Diamniadio, Sénégal"
385,4,3,600,"Ngaparou, Sénégal"
386,3,1,150,"Pikine, Sénégal"
393,6,5,250,"Yoff, Dakar, Sénégal"
394,4,2,150,"Rufisque, Sénégal"
395,4,3,150,"Guediawaye, Dakar, Sénégal"
396,3,1,176,"Mbour, Sénégal"
397,2,2,150,"Rufisque, Sénégal"
398,7,4,200,"Ouakam, Dakar, Sénégal"
399,8,4,150,"Parcelle Assainies, Dakar, Sénégal"
405,4,4,600,"Mbour, Sénégal"
406,7,7,600,"Mbour, Sénégal"
408,4,4,4500,"Thies, Sénégal"
409,4,4,600,"Thies, Sénégal"
410,7,5,200,"Dakar, Sénégal"
412,5,5,2200,"Saly, Sénégal"
413,5,3,450,"Sicap Liberté, Dakar, Sénégal"
415,2,2,150,"HLM, Dakar, Sénégal"
417,1,2,150,"Dakar, Sénégal"
418,5,2,180,"Sacré-Coeur, Dakar, Sénégal"
420,4,3,600,"Ngaparou, Sénégal"
421,4,2,150,"Rufisque, Sénégal"
426,10,7,500,"Point E, Dakar, Sénégal"
428,4,2,253,"Diamniadio, Sénégal"
429,6,4,400,"Toubab Dialao, Sénégal"
433,6,3,150,"Keur Massar, Sénégal"
434,3,1,150,"Rufisque, Sénégal"
435,5,5,500,"Saly, Sénégal"
439,6,2,150,"Thies, Sénégal"
441,20,10,3000,"Ziguinchor, Sénégal"
442,6,4,150,"Dakar, Sénégal"
443,4,1,150,"Pikine, Sénégal"
444,14,10,130,"Mariste, Dakar, Sénégal"
445,5,2,150,"Dakar, Sénégal"
446,5,5,150,"Almadies 2, Dakar, Sénégal"
447,11,8,150,"Keur Massar, Sénégal"
450,8,5,3000,"Mbour, Sénégal"
453,7,3,150,"Mbao, Dakar, Sénégal"
455,8,5,225,"Dakar, Sénégal"
457,7,5,1100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
458,7,5,1100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
459,8,9,1020,"Ziguinchor, Sénégal"
460,1,1,200,"Sicap Liberté, Dakar, Sénégal"
461,3,1,150,"Rufisque, Sénégal"
462,2,2,150,"Dakar, Sénégal"
463,6,2,150,"Dakar, Sénégal"
464,7,5,526,"Point E, Dakar, Sénégal"
465,8,2,150,"Mbao, Dakar, Sénégal"
467,5,2,225,"Dakar, Sénégal"
469,6,7,600,"Saly, Sénégal"
471,3,3,150,"Rufisque, Sénégal"
472,4,3,150,"Rufisque, Sénégal"
475,7,5,260,"Mermoz-Sacré Coeur, Dakar, Sénégal"
476,3,2,165,"Mermoz-Sacré Coeur, Dakar, Sénégal"
477,5,3,175,"Thies, Sénégal"
478,5,4,541,"Mamelles, Dakar, Sénégal"
479,5,4,300,"Rufisque, Sénégal"
480,4,2,200,"Sacré-Coeur, Dakar, Sénégal"
481,17,12,800,"Almadies, Dakar, Sénégal"
482,7,7,400,"Grand Yoff, Dakar, Sénégal"
483,6,5,500,"Saly, Sénégal"
485,4,2,600,"Thies, Sénégal"
486,4,4,600,"Saly, Sénégal"
487,6,4,1000,"Almadies, Dakar, Sénégal"
488,4,4,150,"Dakar, Sénégal"
496,4,2,170,"Keur Massar, Sénégal"
498,8,6,150,"Djida Thiaroye Kaw, Sénégal"
499,8,6,150,"Grand Dakar, Dakar, Sénégal"
501,9,8,200,"Sacré-Coeur, Dakar, Sénégal"
502,5,5,340,"Saly, Sénégal"
503,5,3,450,"Saly, Sénégal"
504,5,5,280,"Dakar, Sénégal"
505,5,8,150,"Mamelles, Dakar, Sénégal"
506,4,6,200,"Mamelles, Dakar, Sénégal"
507,4,3,150,"Almadies, Dakar, Sénégal"
508,4,4,400,"Hann Bel-Air, Dakar, Sénégal"
510,3,2,245,"Saly, Sénégal"
511,6,5,600,"Saly, Sénégal"
512,4,2,1,"Yoff, Dakar, Sénégal"
516,14,6,150,"Dakar, Sénégal"
518,1,3,150,"Dakar, Sénégal"
519,1,2,250,"Dakar, Sénégal"
520,4,2,15,"Fass, Dakar, Sénégal"
521,5,4,150,"Dakar, Sénégal"
522,5,3,225,"Sicap Liberté, Dakar, Sénégal"
523,10,8,150,"Mamelles, Dakar, Sénégal"
524,5,2,150,"Dakar, Sénégal"
527,4,1,150,"Dakar, Sénégal"
528,4,3,200,"Grand Yoff, Dakar, Sénégal"
529,7,2,703,"Ndiass, Sénégal"
